word,status,sbert_tokenization,llama_tokenization,4o-mini_word
(all,Present,"(,all",(all,
(candidate),OOV,"(,candidate,)","(candidate,)",
(economy),OOV,"(,economy,)","(e,conomy,)",
(for,Present,"(,for",(for,
(luxury),OOV,"(,luxury,)","(l,ux,ury,)",
(outside,OOV,"(,outside","(out,side",
(premium),OOV,"(,premium,)","(p,remium,)",
(within,OOV,"(,within","(with,in",
14000,OOV,"1400,##0","140,00",
a+,OOV,"a,+","a,+",
a3,OOV,"a,##3","a,3",
a4,OOV,"a,##4","a,4",
aari,OOV,"aa,##ri","a,ari",
abdominoplasty,OOV,"abd,##omi,##no,##pl,##ast,##y","ab,dom,in,oplast,y",abdominoplasty
abhyanga,OOV,"ab,##hya,##nga","ab,hy,anga",abhyanga
acidity,OOV,"acid,##ity","ac,idity",acidity
acne,OOV,"ac,##ne","ac,ne",acne
acrylic,OOV,"ac,##ryl,##ic","ac,rylic",acrylic
acupressure,OOV,"ac,##up,##ress,##ure","ac,up,ress,ure",acupressure
acupuncture,OOV,"ac,##up,##un,##cture","ac,upuncture",acupuncture
acupuncturist,OOV,"ac,##up,##un,##ct,##uri,##st","ac,up,unct,ur,ist",acupuncturist
adenoids,OOV,"aden,##oids","aden,oids",adenoids
aerobic,OOV,"aero,##bic","a,er,obic",aerobic
aftercare,OOV,"after,##care","after,care",aftercare
ageing,OOV,"age,##ing","age,ing",ageing
agencies-deccan,OOV,"agencies,-,decca,##n","ag,encies,-de,cc,an",deccan
agents-bajaj,OOV,"agents,-,baja,##j","agents,-b,aj,aj",bajaj
agents-icici,OOV,"agents,-,ic,##ici","agents,-,ic,ici",icici
agents-star,OOV,"agents,-,star","agents,-star",
airbrush,OOV,"air,##brush","air,brush",airbrush
alchemy,Present,"al,##che,##my",alchemy,alchemy
allergy,OOV,"all,##ergy","all,ergy",allergy
allianz,OOV,"all,##ian,##z","all,ian,z",allianz
allopathic,OOV,"all,##opa,##thic","allo,path,ic",allopathic
aloe,OOV,"al,##oe","al,oe",aloe
aloevera,OOV,"al,##oe,##vera","alo,ever,a",aloevera
